V axon soma stm g,Firing modulation soma stm g
859.830.443.243,-255.956.813.105
486.257.664.325,-146.073.688.128
453.431.211.019,-725.986.597.171
-449.787.582.106,10.703.648.548
103.467.209.313,525.700.934.579
55.174.225.243,105.870.327.103
526.570.814.731,321.261.682.243
-51.897.932.693,584.112.149.533
109.588.230.113,-155.426.765.016
672.399.582.188,-147.446.024.223
54.837.686.311,-86.887.835.703
-560.989.180.692,184.404.636.459
591.613.907.173,-781.474.046.458
377.096.393.704,-143.348.623.853
304.158.824.279,-250.932.033.266
-289.401.806.568,15.055.921.996
531.622.905.981,-557.170.542.636
362.525.728.419,-121.084.920.891
276.095.225.136,-403.616.402.971
-27.042.920.902,-306.748.466.258
102.057.494.887,354.785.478.548
132.740.097.264,660.066.006.601
664.143.327.675,-222.772.277.228
-446.206.607.879,-239.273.927.393
657.888.226.129,-251.094.514.551
357.533.014.371,534.243.048.404
301.074.572.671,-836.981.715.169
-325.705.473.184,476.435.745.558
418.615.889.966,-119.806.421.152
562.942.942.997,-684.400.826.446
491.897.653.402,-877.991.675.338
639.520.595.787,-12.360.446.571
198.907.797.151,-113.800.578.035
172.189.033.771,272.027.600.849
226.961.492.875,-546.206.082.079